bill_id,people_id,position
1665882,20563,8
1665882,20815,5
1665882,22078,6
1665882,22079,12
1665882,23149,9
1665946,470,10
1665946,477,5
1665946,481,1
1665946,503,2
1665946,931,4
1665946,13010,3
1665946,20563,11
1665946,20815,9
1665946,22078,7
1665946,22079,8
1665946,23149,6
1666014,477,3
1666014,931,10
1666014,16957,2
1666014,18220,9
1666014,18516,8
1666014,20815,4
1666014,20816,1
1666014,22078,5
1666014,22079,7
1666014,23149,6
1666079,470,10
1666079,477,5
1666079,481,1
1666079,503,2
1666079,931,4
1666079,13010,3
1666079,20563,11
1666079,20815,9
1666079,22078,7
1666079,22079,8
1666079,23149,6
1666147,470,8
1666147,477,6
1666147,481,1
1666147,503,4
1666147,931,5
1666147,13010,2
1666147,16957,3
1666147,18220,11
1666147,18516,10
1666147,20815,7
1666147,20816,9
1666211,477,6
1666211,481,1
1666211,503,3
1666211,931,5
1666211,11213,4
1666211,13010,2
1666211,18516,7
1666270,470,13
1666270,477,8
1666270,481,5
1666270,503,1
1666270,931,16
1666270,11213,6
1666270,13010,9
1666270,16956,3
1666270,16957,4
1666270,18220,15
1666270,18516,12
1666270,20563,10
1666270,20815,7
1666270,22078,2
1666270,22079,14
1666270,23149,11
1666339,465,6
1666339,934,4
1666339,11527,8
1666339,16869,5
1666339,16957,7
1666339,17529,3
1666339,18795,1
1666339,18946,2
1666396,902,8
1666396,11213,4
1666396,11527,7
1666396,16869,1
1666396,16870,9
1666396,16956,2
1666396,17529,6
1666396,18795,5
1666396,22040,3
1666451,902,6
1666451,16748,2
1666451,16956,5
1666451,18795,1
1666451,18900,3
1666451,21372,4
1666511,277,1
1666511,934,5
1666511,16869,2
1666511,21372,4
1666511,22040,3
1666567,470,7
1666567,477,4
1666567,503,11
1666567,931,3
1666567,11213,5
1666567,18220,2
1666567,18516,8
1666567,20816,1
1666567,22078,10
1666567,22079,9
1666567,23149,6
1666625,470,7
1666625,477,3
1666625,481,1
1666625,13010,4
1666625,18220,9
1666625,18516,6
1666625,20563,11
1666625,20815,2
1666625,20816,10
1666625,22078,5
1666625,22079,8
1666679,902,2
1666679,16870,1
1666742,470,13
1666742,477,4
1666742,481,1
1666742,503,8
1666742,931,9
1666742,11213,5
1666742,18220,11
1666742,18516,15
1666742,20563,14
1666742,20815,10
1666742,20816,2
1666742,20817,3
1666742,22078,7
1666742,22079,12
1666742,23149,6
1666796,477,3
1666796,481,4
1666796,503,1
1666796,11213,5
1666796,20563,8
1666796,20815,2
1666796,22078,6
1666796,22079,7
1666854,470,7
1666854,477,2
1666854,481,1
1666854,503,6
1666854,13010,3
1666854,18220,8
1666854,18516,9
1666854,22078,5
1666854,23149,4
1666915,470,9
1666915,477,4
1666915,481,5
1666915,11213,7
1666915,13010,2
1666915,14146,6
1666915,16957,3
1666915,18220,8
1666915,20816,1
1666970,470,4
1666970,16869,3
1666970,16870,2
1666970,17529,1
1667025,477,3
1667025,481,4
1667025,503,1
1667025,11213,5
1667025,20563,8
1667025,20815,2
1667025,22078,6
1667025,22079,7
1667080,470,12
1667080,477,6
1667080,481,4
1667080,503,1
1667080,931,14
1667080,11213,3
1667080,13010,8
1667080,16956,2
1667080,18220,15
1667080,18516,11
1667080,20563,9
1667080,20815,5
1667080,20816,16
1667080,22078,7
1667080,22079,13
1667080,23149,10
1667080,23556,17
1667142,470,9
1667142,477,4
1667142,481,3
1667142,503,1
1667142,13010,6
1667142,16957,2
1667142,18516,8
1667142,22078,5
1667142,22079,10
1667142,23149,7
1667198,477,5
1667198,503,1
1667198,931,10
1667198,11213,3
1667198,13010,7
1667198,16957,2
1667198,18220,11
1667198,20815,4
1667198,20816,12
1667198,22078,6
1667198,22079,9
1667198,23149,8
1667254,470,5
1667254,931,3
1667254,13010,2
1667254,16748,4
1667254,16870,1
1667254,18220,6
1667312,470,9
1667312,477,2
1667312,503,8
1667312,11213,5
1667312,14146,3
1667312,16748,10
1667312,18516,6
1667312,20816,1
1667312,22079,7
1667312,23149,4
1667368,470,7
1667368,477,3
1667368,503,1
1667368,917,8
1667368,931,6
1667368,11213,4
1667368,22078,5
1667368,23149,2
1667426,277,14
1667426,503,4
1667426,917,10
1667426,934,13
1667426,11213,2
1667426,16869,11
1667426,16870,1
1667426,16957,12
1667426,17529,6
1667426,18220,8
1667426,18516,3
1667426,22079,7
1667426,22080,9
1667426,23149,5
1667481,16869,1
1667529,934,4
1667529,16869,3
1667529,17529,1
1667529,19038,2
1668741,470,8
1668741,477,3
1668741,481,1
1668741,503,6
1668741,931,10
1668741,18220,11
1668741,18516,7
1668741,20563,13
1668741,20815,2
1668741,20816,12
1668741,22078,4
1668741,22079,9
1668741,23149,5
1668755,470,7
1668755,477,3
1668755,13010,6
1668755,20815,4
1668755,20816,1
1668755,20817,9
1668755,22078,5
1668755,22079,8
1668755,22938,2
1668773,466,6
1668773,470,15
1668773,481,7
1668773,931,19
1668773,11213,5
1668773,13010,9
1668773,16748,18
1668773,16869,13
1668773,16870,2
1668773,16956,1
1668773,16957,4
1668773,18220,17
1668773,18516,14
1668773,18795,3
1668773,21372,16
1668773,22078,12
1668773,22079,8
1668773,22080,10
1668773,23149,11
1668789,16869,2
1668789,21372,1
1668809,470,8
1668809,477,4
1668809,481,1
1668809,931,3
1668809,13010,2
1668809,16957,6
1668809,18220,5
1668809,18516,9
1668809,20563,7
1668809,20815,11
1668809,22079,10
1668828,339,3
1668828,14166,4
1668828,16748,5
1668828,16869,2
1668828,16956,1
1668846,16869,1
1668846,16870,2
1668846,22040,3
1668865,917,5
1668865,934,1
1668865,18220,4
1668865,18946,3
1668865,20563,2
1668888,21372,1
1668908,477,4
1668908,481,2
1668908,503,1
1668908,13010,6
1668908,18516,8
1668908,20815,3
1668908,20816,9
1668908,22078,5
1668908,23149,7
1668926,470,14
1668926,477,6
1668926,481,1
1668926,503,10
1668926,931,2
1668926,13010,3
1668926,16957,4
1668926,18220,13
1668926,18516,9
1668926,20563,5
1668926,20815,12
1668926,20816,16
1668926,20817,15
1668926,22078,7
1668926,22079,11
1668926,23149,8
1668945,466,2
1668945,16869,1
1668945,17529,3
1668967,470,8
1668967,477,3
1668967,481,1
1668967,503,6
1668967,931,9
1668967,18220,10
1668967,18516,7
1668967,20815,2
1668967,20816,11
1668967,22078,4
1668967,23149,5
1668984,339,10
1668984,470,8
1668984,477,3
1668984,11213,1
1668984,13010,14
1668984,16869,12
1668984,18220,13
1668984,18516,2
1668984,18795,6
1668984,20563,5
1668984,20817,9
1668984,22078,4
1668984,22079,7
1668984,22080,11
1669009,13010,2
1669009,21372,1
1669025,277,1
1669025,16956,2
1669025,22040,3
1669025,23149,4
1669046,13010,3
1669046,16956,1
1669046,16957,2
1669046,18516,7
1669046,22078,4
1669046,22079,6
1669046,23149,5
1669061,277,1
1669061,465,10
1669061,470,6
1669061,11213,7
1669061,16869,5
1669061,17529,8
1669061,18946,3
1669061,19038,4
1669061,21372,9
1669061,22938,2
1669084,262,5
1669084,277,12
1669084,339,6
1669084,465,10
1669084,470,7
1669084,11213,9
1669084,13010,3
1669084,16869,8
1669084,17529,1
1669084,22040,4
1669084,22078,11
1669084,22080,2
1669104,470,5
1669104,477,2
1669104,931,6
1669104,11213,1
1669104,13010,4
1669104,18516,8
1669104,20816,7
1669104,22078,3
1669121,262,14
1669121,277,7
1669121,339,13
1669121,902,11
1669121,934,2
1669121,11527,15
