bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1760882,2829919,text,83706,application/pdf,Amended,https://legiscan.com/PA/text/HB1096/id/2829919,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1096&pn=1687
1760882,2847018,text,88072,application/pdf,Amended,https://legiscan.com/PA/text/HB1096/id/2847018,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1096&pn=2189
1760882,2862709,text,99641,application/pdf,Amended,https://legiscan.com/PA/text/HB1096/id/2862709,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1096&pn=2411
1760882,2862926,text,107310,application/pdf,Amended,https://legiscan.com/PA/text/HB1096/id/2862926,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1096&pn=2433
1760988,2800509,text,65811,application/pdf,Introduced,https://legiscan.com/PA/text/HB1097/id/2800509,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1097&pn=1156
1760988,2815132,text,71146,application/pdf,Amended,https://legiscan.com/PA/text/HB1097/id/2815132,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1097&pn=1288
1761049,2798143,text,73452,application/pdf,Introduced,https://legiscan.com/PA/text/HB1098/id/2798143,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1098&pn=1145
1760998,2798097,text,60930,application/pdf,Introduced,https://legiscan.com/PA/text/HB1099/id/2798097,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1099&pn=1146
1761171,2798459,text,74123,application/pdf,Introduced,https://legiscan.com/PA/text/HB1100/id/2798459,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1100&pn=1148
1761171,2817461,text,81088,application/pdf,Amended,https://legiscan.com/PA/text/HB1100/id/2817461,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1100&pn=1362
1761171,2830911,text,81952,application/pdf,Amended,https://legiscan.com/PA/text/HB1100/id/2830911,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1100&pn=1740
1761006,2800522,text,91967,application/pdf,Introduced,https://legiscan.com/PA/text/HB1101/id/2800522,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1101&pn=1157
1761003,2800524,text,69202,application/pdf,Introduced,https://legiscan.com/PA/text/HB1102/id/2800524,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1102&pn=1158
1761065,2800538,text,62036,application/pdf,Introduced,https://legiscan.com/PA/text/HB1103/id/2800538,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1103&pn=1159
1761053,2800533,text,66863,application/pdf,Introduced,https://legiscan.com/PA/text/HB1104/id/2800533,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1104&pn=1160
1761070,2800534,text,64913,application/pdf,Introduced,https://legiscan.com/PA/text/HB1105/id/2800534,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1105&pn=1161
1760985,2800531,text,63218,application/pdf,Introduced,https://legiscan.com/PA/text/HB1106/id/2800531,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1106&pn=1162
1761098,2800549,text,67905,application/pdf,Introduced,https://legiscan.com/PA/text/HB1107/id/2800549,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1107&pn=1163
1761159,2800543,text,68768,application/pdf,Introduced,https://legiscan.com/PA/text/HB1108/id/2800543,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1108&pn=1164
1761159,2830134,text,77998,application/pdf,Amended,https://legiscan.com/PA/text/HB1108/id/2830134,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1108&pn=1677
1761112,2800552,text,69457,application/pdf,Introduced,https://legiscan.com/PA/text/HB1109/id/2800552,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1109&pn=1165
1761151,2800544,text,66258,application/pdf,Introduced,https://legiscan.com/PA/text/HB1110/id/2800544,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1110&pn=1166
1767860,2817452,text,75501,application/pdf,Introduced,https://legiscan.com/PA/text/HB1111/id/2817452,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1111&pn=1307
1761125,2800561,text,62440,application/pdf,Introduced,https://legiscan.com/PA/text/HB1112/id/2800561,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1112&pn=1167
1761180,2800554,text,77665,application/pdf,Introduced,https://legiscan.com/PA/text/HB1113/id/2800554,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1113&pn=1168
1761140,2800547,text,67544,application/pdf,Introduced,https://legiscan.com/PA/text/HB1114/id/2800547,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1114&pn=1169
1761106,2800542,text,83659,application/pdf,Introduced,https://legiscan.com/PA/text/HB1115/id/2800542,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1115&pn=1170
1761355,2800510,text,61605,application/pdf,Introduced,https://legiscan.com/PA/text/HB1116/id/2800510,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1116&pn=1171
1761338,2800501,text,65312,application/pdf,Introduced,https://legiscan.com/PA/text/HB1117/id/2800501,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1117&pn=1172
1761320,2800485,text,68805,application/pdf,Introduced,https://legiscan.com/PA/text/HB1118/id/2800485,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1118&pn=1173
1761327,2800488,text,67698,application/pdf,Introduced,https://legiscan.com/PA/text/HB1119/id/2800488,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1119&pn=1174
1761307,2800523,text,98605,application/pdf,Introduced,https://legiscan.com/PA/text/HB1120/id/2800523,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1120&pn=1175
1761349,2800504,text,71415,application/pdf,Introduced,https://legiscan.com/PA/text/HB1121/id/2800504,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1121&pn=1176
1761342,2800496,text,78024,application/pdf,Introduced,https://legiscan.com/PA/text/HB1122/id/2800496,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1122&pn=1177
1761291,2800481,text,65418,application/pdf,Introduced,https://legiscan.com/PA/text/HB1123/id/2800481,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1123&pn=1178
1761314,2800482,text,66531,application/pdf,Introduced,https://legiscan.com/PA/text/HB1124/id/2800482,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1124&pn=1179
1761359,2800518,text,67724,application/pdf,Introduced,https://legiscan.com/PA/text/HB1125/id/2800518,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1125&pn=1180
1761312,2800520,text,64966,application/pdf,Introduced,https://legiscan.com/PA/text/HB1126/id/2800520,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1126&pn=1181
1761287,2800477,text,64096,application/pdf,Introduced,https://legiscan.com/PA/text/HB1127/id/2800477,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1127&pn=1182
1761333,2800491,text,63399,application/pdf,Introduced,https://legiscan.com/PA/text/HB1128/id/2800491,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1128&pn=1183
1761304,2800478,text,71347,application/pdf,Introduced,https://legiscan.com/PA/text/HB1129/id/2800478,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1129&pn=1184
1761295,2800855,text,75413,application/pdf,Introduced,https://legiscan.com/PA/text/HB1130/id/2800855,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1130&pn=1185
1761295,2831190,text,80542,application/pdf,Amended,https://legiscan.com/PA/text/HB1130/id/2831190,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1130&pn=1741
1761295,2833006,text,82030,application/pdf,Amended,https://legiscan.com/PA/text/HB1130/id/2833006,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1130&pn=1825
1761284,2800476,text,66855,application/pdf,Introduced,https://legiscan.com/PA/text/HB1131/id/2800476,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1131&pn=1186
1761561,2804902,text,72186,application/pdf,Introduced,https://legiscan.com/PA/text/HB1132/id/2804902,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1132&pn=1190
1761698,2805134,text,66592,application/pdf,Introduced,https://legiscan.com/PA/text/HB1133/id/2805134,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1133&pn=1191
